EQUIPMENTID,MED_EQUIPMENT_REQ_ID,isInUse,isClean,cleanLocationID,storageLocationID,currentLocationID,equpimentType
BED01,null,true,false,eSTOR001L1,eSTOR001L1,FHALL00501,BED
BED02,null,true,false,eSTOR001L1,eSTOR001L1,FHALL00501,BED
BED03,null,true,false,eSTOR001L1,eSTOR001L1,FHALL00501,BED
BED04,null,true,false,eSTOR001L1,eSTOR001L1,FHALL00501,BED
BED05,null,true,false,eSTOR001L1,eSTOR001L1,FHALL00501,BED
BED06,null,false,false,eSTOR001L1,eSTOR001L1,eDIRT00103,BED
BED07,null,false,false,eSTOR001L1,eSTOR001L1,eDIRT00103,BED
BED08,null,false,false,eSTOR001L1,eSTOR001L1,eDIRT00103,BED
BED09,null,false,true,eSTOR001L1,eSTOR001L1,ePATI00903,BED
BED10,null,false,true,eSTOR001L1,eSTOR001L1,ePATI01003,BED
BED11,null,false,true,eSTOR001L1,eSTOR001L1,ePATI01103,BED
BED12,null,false,true,eSTOR001L1,eSTOR001L1,ePATI01203,BED
BED13,null,false,true,eSTOR001L1,eSTOR001L1,ePATI01303,BED
BED14,null,false,true,eSTOR001L1,eSTOR001L1,ePATI01403,BED
BED15,null,false,false,eSTOR001L1,eSTOR001L1,HHALL01002,BED
BED16,null,false,false,eSTOR001L1,eSTOR001L1,HHALL01002,BED
BED17,null,false,false,eSTOR001L1,eSTOR001L1,HHALL01002,BED
BED18,null,false,false,eSTOR001L1,eSTOR001L1,HHALL01002,BED
BED19,null,false,true,eSTOR001L1,eSTOR001L1,ePATI01903,BED
BED20,null,false,true,eSTOR001L1,eSTOR001L1,ePATI02003,BED
BED21,null,false,true,eSTOR001L1,eSTOR001L1,ePATI00104,BED
BED22,null,false,true,eSTOR001L1,eSTOR001L1,ePATI00204,BED
BED23,null,false,true,eSTOR001L1,eSTOR001L1,ePATI00304,BED
BED24,null,false,true,eSTOR001L1,eSTOR001L1,ePATI00404,BED
BED25,null,false,true,eSTOR001L1,eSTOR001L1,ePATI00504,BED
BED26,null,false,true,eSTOR001L1,eSTOR001L1,ePATI00604,BED
BED27,null,false,true,eSTOR001L1,eSTOR001L1,ePATI00704,BED
BED28,null,false,true,eSTOR001L1,eSTOR001L1,ePATI00804,BED
BED29,null,false,true,eSTOR001L1,eSTOR001L1,ePATI00904,BED
BED30,null,false,true,eSTOR001L1,eSTOR001L1,ePATI01004,BED
BED31,null,false,false,eSTOR001L1,eSTOR001L1,eDIRT00105,BED
BED32,null,false,false,eSTOR001L1,eSTOR001L1,eDIRT00105,BED
BED33,null,false,false,eSTOR001L1,eSTOR001L1,eDIRT00105,BED
BED34,null,false,false,eSTOR001L1,eSTOR001L1,eDIRT00105,BED
BED35,null,false,false,eSTOR001L1,eSTOR001L1,eDIRT00105,BED
BED36,null,false,true,eSTOR001L1,eSTOR001L1,ePATI00605,BED
BED37,null,false,true,eSTOR001L1,eSTOR001L1,ePATI00705,BED
BED38,null,false,true,eSTOR001L1,eSTOR001L1,ePATI00805,BED
BED39,null,false,true,eSTOR001L1,eSTOR001L1,ePATI00905,BED
BED40,null,false,true,eSTOR001L1,eSTOR001L1,ePATI01005,BED
XRAY1,null,true,false,eSTOR00103,eSTOR00103,HLABS00103,XRAY
XRAY2,null,false,true,eSTOR00104,eSTOR00104,eSTOR00104,XRAY
XRAY3,null,false,true,eSTOR00105,eSTOR00105,eSTOR00105,XRAY
IPUMP1,null,false,false,eSTOR00101,eSTOR00103,eDIRT00103,INFUSION PUMP
IPUMP2,null,false,false,eSTOR00101,eSTOR00103,eDIRT00103,INFUSION PUMP
IPUMP3,null,false,false,eSTOR00101,eSTOR00103,eDIRT00103,INFUSION PUMP
IPUMP4,null,false,false,eSTOR00101,eSTOR00103,eDIRT00103,INFUSION PUMP
IPUMP5,null,false,false,eSTOR00101,eSTOR00103,eDIRT00103,INFUSION PUMP
IPUMP6,null,false,false,eSTOR00101,eSTOR00103,eDIRT00103,INFUSION PUMP
IPUMP7,null,false,false,eSTOR00101,eSTOR00103,eDIRT00103,INFUSION PUMP
IPUMP8,null,false,false,eSTOR00101,eSTOR00103,eDIRT00103,INFUSION PUMP
IPUMP9,null,false,false,eSTOR00101,eSTOR00103,eDIRT00103,INFUSION PUMP
IPUMP10,null,false,false,eSTOR00101,eSTOR00103,eDIRT00103,INFUSION PUMP
IPUMP11,null,false,false,eSTOR00101,eSTOR00103,eDIRT00104,INFUSION PUMP
IPUMP12,null,false,false,eSTOR00101,eSTOR00103,eDIRT00104,INFUSION PUMP
IPUMP13,null,false,false,eSTOR00101,eSTOR00103,eDIRT00104,INFUSION PUMP
IPUMP14,null,false,false,eSTOR00101,eSTOR00103,eDIRT00104,INFUSION PUMP
IPUMP15,null,false,false,eSTOR00101,eSTOR00103,ePATI00304,INFUSION PUMP
IPUMP16,null,false,false,eSTOR00101,eSTOR00203,ePATI00304,INFUSION PUMP
IPUMP17,null,false,false,eSTOR00101,eSTOR00203,ePATI00304,INFUSION PUMP
IPUMP18,null,false,false,eSTOR00101,eSTOR00203,ePATI00304,INFUSION PUMP
IPUMP19,null,false,true,eSTOR00101,eSTOR00203,eSTOR00203,INFUSION PUMP
IPUMP20,null,false,true,eSTOR00101,eSTOR00203,eSTOR00203,INFUSION PUMP
IPUMP21,null,false,true,eSTOR00101,eSTOR00203,eSTOR00203,INFUSION PUMP
IPUMP22,null,false,true,eSTOR00101,eSTOR00203,eSTOR00203,INFUSION PUMP
IPUMP23,null,false,true,eSTOR00101,eSTOR00203,eSTOR00203,INFUSION PUMP
IPUMP24,null,false,true,eSTOR00101,eSTOR00203,eSTOR00203,INFUSION PUMP
IPUMP25,null,false,true,eSTOR00101,eSTOR00203,eSTOR00203,INFUSION PUMP
IPUMP26,null,false,true,eSTOR00101,eSTOR00203,eSTOR00203,INFUSION PUMP
IPUMP27,null,false,true,eSTOR00101,eSTOR00203,eSTOR00203,INFUSION PUMP
IPUMP28,null,false,true,eSTOR00101,eSTOR00203,eSTOR00203,INFUSION PUMP
IPUMP29,null,false,true,eSTOR00101,eSTOR00203,eSTOR00203,INFUSION PUMP
IPUMP30,null,false,true,eSTOR00101,eSTOR00203,eSTOR00203,INFUSION PUMP
IPUMP31,null,false,true,eSTOR00101,eSTOR00104,eSTOR00104,INFUSION PUMP
IPUMP32,null,false,true,eSTOR00101,eSTOR00104,eSTOR00104,INFUSION PUMP
IPUMP33,null,false,true,eSTOR00101,eSTOR00104,eSTOR00104,INFUSION PUMP
IPUMP34,null,false,true,eSTOR00101,eSTOR00104,eSTOR00104,INFUSION PUMP
IPUMP35,null,false,true,eSTOR00101,eSTOR00104,eSTOR00104,INFUSION PUMP
IPUMP36,null,false,true,eSTOR00101,eSTOR00104,eSTOR00104,INFUSION PUMP
IPUMP37,null,false,true,eSTOR00101,eSTOR00104,eSTOR00104,INFUSION PUMP
IPUMP38,null,false,true,eSTOR00101,eSTOR00104,eSTOR00104,INFUSION PUMP
IPUMP39,null,false,true,eSTOR00101,eSTOR00204,eSTOR00204,INFUSION PUMP
IPUMP40,null,false,true,eSTOR00101,eSTOR00204,eSTOR00204,INFUSION PUMP
IPUMP41,null,false,true,eSTOR00101,eSTOR00204,eSTOR00204,INFUSION PUMP
IPUMP42,null,false,true,eSTOR00101,eSTOR00204,eSTOR00204,INFUSION PUMP
IPUMP43,null,false,true,eSTOR00101,eSTOR00204,eSTOR00204,INFUSION PUMP
IPUMP44,null,false,true,eSTOR00101,eSTOR00204,eSTOR00204,INFUSION PUMP
IPUMP45,null,false,true,eSTOR00101,eSTOR00204,eSTOR00204,INFUSION PUMP
IPUMP46,null,false,true,eSTOR00101,eSTOR00105,eSTOR00105,INFUSION PUMP
IPUMP47,null,false,true,eSTOR00101,eSTOR00105,eSTOR00105,INFUSION PUMP
IPUMP48,null,false,true,eSTOR00101,eSTOR00105,eSTOR00105,INFUSION PUMP
IPUMP49,null,false,true,eSTOR00101,eSTOR00105,eSTOR00105,INFUSION PUMP
IPUMP50,null,false,true,eSTOR00101,eSTOR00105,eSTOR00105,INFUSION PUMP
IPUMP51,null,false,true,eSTOR00101,eSTOR00105,eSTOR00105,INFUSION PUMP
IPUMP52,null,false,true,eSTOR00101,eSTOR00105,eSTOR00105,INFUSION PUMP
IPUMP53,null,false,true,eSTOR00101,eSTOR00105,eSTOR00105,INFUSION PUMP
IPUMP54,null,false,true,eSTOR00101,eSTOR00205,eSTOR00205,INFUSION PUMP
IPUMP55,null,false,true,eSTOR00101,eSTOR00205,eSTOR00205,INFUSION PUMP
IPUMP56,null,false,true,eSTOR00101,eSTOR00205,eSTOR00205,INFUSION PUMP
IPUMP57,null,false,true,eSTOR00101,eSTOR00205,eSTOR00205,INFUSION PUMP
IPUMP58,null,false,true,eSTOR00101,eSTOR00205,eSTOR00205,INFUSION PUMP
IPUMP59,null,false,true,eSTOR00101,eSTOR00205,eSTOR00205,INFUSION PUMP
IPUMP60,null,false,true,eSTOR00101,eSTOR00205,eSTOR00205,INFUSION PUMP
RECL1,null,true,false,eSTOR00101,eSTOR00101,CHALL010L2,RECLINER
RECL2,null,true,false,eSTOR00101,eSTOR00101,CHALL010L2,RECLINER
RECL3,null,true,false,eSTOR00101,eSTOR00101,CHALL010L2,RECLINER
RECL4,null,true,false,eSTOR00101,eSTOR00101,CHALL010L2,RECLINER
RECL5,null,true,false,eSTOR00101,eSTOR00101,CHALL010L2,RECLINER
RECL6,null,false,true,eSTOR00101,eSTOR00101,eSTOR00403,RECLINER
RECL7,null,false,true,eSTOR00101,eSTOR00101,eSTOR00304,RECLINER
RECL8,null,false,true,eSTOR00101,eSTOR00101,eSTOR00304,RECLINER
RECL9,null,false,true,eSTOR00101,eSTOR00101,eSTOR00304,RECLINER
RECL10,null,false,true,eSTOR00101,eSTOR00101,eSTOR00404,RECLINER
RECL11,null,false,true,eSTOR00101,eSTOR00101,eSTOR00404,RECLINER
