MED_EQUIPMENTID,REQUESTDATE,DELIVERYDATE,ISURGENT,EQUIP,EQUIPQUANTITY,STAFFASSIGNEE,LOCATIONID,FLOOR,REQUESTSTATUS,OTHERNOTES
1,2022-04-03,2022-04-07,true,bed,4,Bob,FDEPT00101,1,Processing,leave outside door
2,2022-04-03,2022-04-07,true,X-Ray,2,Susie,FHALL02301,1,Done,need ASAP
3,2022-04-03,2022-04-07,true,pump,1,Bob,HHALL01303,3,Processing,no rush
4,2022-04-03,2022-04-07,false,recliner,5,Susie,WELEV00ML1,L1,,no rush
1,2022-04-03,2022-04-07,true,bed,4,Bob,FDEPT00101,1,Processing,leave outside door
2,2022-04-03,2022-04-07,true,X-Ray,2,Susie,FHALL02301,1,Done,need ASAP
3,2022-04-03,2022-04-07,false,pump,1,Ron,HHALL01303,3,,
4,2022-04-03,2022-04-07,false,recliner,5,Vickie,WELEV00ML1,L1,,no rush
1,2022-04-03,2022-04-07,true,bed,4,Steve,FDEPT00101,1,Processing,leave outside door
1,2022-04-03,2022-04-07,true,bed,4,Beverly,HSERV00103,3,Processing,leave outside door
